AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS
1852800,2659100,54091700,4734700,1752400,15456100,8975200,2045700,3917300,2307900,2791200,25400600,10072000,9863300,8456200,2342700,2338200,6339800,18085700,4279000,6008000,793300,1447300,2768500,15713600,5290600,4783300,8838700,24628300
1876000,2206100,56377100,5259600,1959300,21153700,7218400,1740900,10089800,1661200,4313600,25000200,7453600,9569600,9555000,1828000,4392500,5661200,18102900,6189800,7093000,1101500,1773000,3835900,14112800,6564400,6892800,30591100,14607300
1804100,1882200,79542000,6533500,1576200,27975600,6741100,1576300,3162600,1661200,3667600,29176100,7406600,8144000,8149300,1699100,4876900,6486000,18253400,5108400,4834600,1564700,1471700,3181300,11294400,4902500,6499300,13930700,9140900
1397700,1888800,62290100,4404600,1750900,39999900,6477500,1102200,2899600,1509200,3177700,24598200,8312100,6532000,9531800,1591900,5654300,6111600,17186200,4750200,3829000,890500,1486400,2791600,25957400,4516400,16450400,6399200,7343900
1895400,2207500,70346300,5736100,2003600,23130400,6834200,1812300,3489100,2040700,3155800,31425500,8128500,8921100,13464500,1833800,12713200,8828700,20570000,5967600,6502500,1022200,2258000,4346100,19485400,4178800,6908700,7639600,8702500
1969300,3078300,69026800,5312300,2008900,20534100,9147000,1723900,3144200,2588000,3093600,51006100,5462600,9087900,8967600,1986700,10183400,6652100,25061100,5802900,6380700,949600,1672900,5182900,15031400,5139500,6320800,6222400,11575800
2885200,2659700,54147100,3425200,2444900,13764600,10354800,1538000,3317500,1607600,4141800,30687100,5566300,8443800,7607000,2211100,15358400,5208800,17527400,4806700,5268200,847000,2039600,5076800,19014200,3525500,5044200,5651700,7180700
2029200,2329200,53841500,4211300,2503200,14946500,9468100,1530800,2495600,1351800,2855400,25105700,5684300,6844700,9771300,1777200,15430500,5553300,18137000,4769000,5903200,723200,1761200,11438800,17384400,4230800,7603000,5255500,7840500
1936300,1725400,51218200,4949400,1888700,23039300,8050700,1763900,2529700,1631500,2706000,29799100,5678700,7913900,10758900,1330400,47355600,5884300,16583400,5433700,5097600,1231300,1965800,24025600,14327600,4495000,6433300,6471500,6920900
2373700,2969400,78961000,4957400,2560400,20309800,7765800,1703900,3315500,2837000,4185300,44851500,5667100,10089500,11276200,2357800,38384100,5695300,27549300,6203600,6086600,1161500,1906700,11074700,16795700,5060200,6927600,7110600,7807400
2693600,2113000,73314000,4727600,1996600,13425700,8462600,1835600,2711800,2095700,2783000,32976800,5259200,9115900,8117300,2017500,50532400,7850200,20338500,4132400,5272100,819600,1594000,9329900,15039500,4476200,5316400,5793900,6882700
